keff,panels_deg,areal_dens,type,solbor,burnup,vf
0.90036,80,0.022,bwr,0,12,0
0.90004,200,0.022,bwr,0,12,0
0.89691,0,1.00E-11,bwr,0,12,0.7
0.89984,1,1.00E-11,bwr,0,12,0.7
0.90317,2,1.00E-11,bwr,0,12,0.7
0.91279,3,1.00E-11,bwr,0,12,0.7
0.92968,4,1.00E-11,bwr,0,12,0.7
0.97735,8,1.00E-11,bwr,0,12,0.7
1.00966,12,1.00E-11,bwr,0,12,0.7
1.05708,20,1.00E-11,bwr,0,12,0.7
1.10831,40,1.00E-11,bwr,0,12,0.7
1.14689,80,1.00E-11,bwr,0,12,0.7
1.198,200,1.00E-11,bwr,0,12,0.7
0.89691,0,0.002,bwr,0,12,0.7
0.8982,1,0.002,bwr,0,12,0.7
0.89936,2,0.002,bwr,0,12,0.7
0.90104,3,0.002,bwr,0,12,0.7
0.90378,4,0.002,bwr,0,12,0.7
0.91469,8,0.002,bwr,0,12,0.7
0.92792,12,0.002,bwr,0,12,0.7
0.95062,20,0.002,bwr,0,12,0.7
0.98093,40,0.002,bwr,0,12,0.7
1.00652,80,0.002,bwr,0,12,0.7
1.04435,200,0.002,bwr,0,12,0.7
0.89691,0,0.004,bwr,0,12,0.7
0.89749,1,0.004,bwr,0,12,0.7
0.89869,2,0.004,bwr,0,12,0.7
0.8988,3,0.004,bwr,0,12,0.7
0.90003,4,0.004,bwr,0,12,0.7
0.90482,8,0.004,bwr,0,12,0.7
0.91165,12,0.004,bwr,0,12,0.7
0.92525,20,0.004,bwr,0,12,0.7
0.94633,40,0.004,bwr,0,12,0.7
0.96689,80,0.004,bwr,0,12,0.7
0.99841,200,0.004,bwr,0,12,0.7
0.89691,0,0.006,bwr,0,12,0.7
0.89778,1,0.006,bwr,0,12,0.7
0.89786,2,0.006,bwr,0,12,0.7
0.89842,3,0.006,bwr,0,12,0.7
0.8992,4,0.006,bwr,0,12,0.7
0.90253,8,0.006,bwr,0,12,0.7
0.90533,12,0.006,bwr,0,12,0.7
0.91278,20,0.006,bwr,0,12,0.7
0.92884,40,0.006,bwr,0,12,0.7
0.94546,80,0.006,bwr,0,12,0.7
0.97365,200,0.006,bwr,0,12,0.7
0.89691,0,0.008,bwr,0,12,0.7
0.89811,1,0.008,bwr,0,12,0.7
0.8979,2,0.008,bwr,0,12,0.7
0.89845,3,0.008,bwr,0,12,0.7
0.89787,4,0.008,bwr,0,12,0.7
0.90055,8,0.008,bwr,0,12,0.7
0.90319,12,0.008,bwr,0,12,0.7
0.90774,20,0.008,bwr,0,12,0.7
0.9185,40,0.008,bwr,0,12,0.7
0.9316,80,0.008,bwr,0,12,0.7
0.95481,200,0.008,bwr,0,12,0.7
0.89691,0,0.01,bwr,0,12,0.7
0.89717,1,0.01,bwr,0,12,0.7
0.89756,2,0.01,bwr,0,12,0.7
0.89824,3,0.01,bwr,0,12,0.7
0.89872,4,0.01,bwr,0,12,0.7
0.89987,8,0.01,bwr,0,12,0.7
